species,degree,normalised.degree,betweenness,weighted.betweenness,closeness,weighted.closeness,d
Policana albopilosa,1,0.1111111111111111,0,0,0.03149920255183413,0.007653245785552424,0.6905693333219006
Bombus dahlbomii,2,0.2222222222222222,0,0.2713347921225383,0.045454545454545456,0.016935667929809137,0.8581793587531173
Ruizantheda mutabilis,2,0.2222222222222222,0.04807692307692305,0.18161925601750548,0.03588516746411483,0.007635429878860562,0.15542891459350638
Trichophthalma amoena,1,0.1111111111111111,0,0,0.02631578947368421,0.0020085975717628914,0.8474065843060758
Syrphus octomaculatus,3,0.3333333333333333,0.023076923076923078,0.26805251641137856,0.04665071770334928,0.009803161390181102,0.38597889018397674
Manuelia gayi,1,0.1111111111111111,0,0,0.045454545454545456,0.0076456909308716785,0.32026015421408094
Allograpta.Toxomerus,4,0.4444444444444444,0.4173076923076923,0.17943107221006566,0.04904306220095694,0.004113558620088753,0.6482362567783188
Trichophthalma jaffueli,1,0.1111111111111111,0,0,0.045454545454545456,0.004331302744089867,0.26472681552275246
Phthiria,2,0.2222222222222222,0,0,0.045454545454545456,0.008236575710072535,0.3916792704113827
Platycheirus1,2,0.2222222222222222,0.24423076923076922,0.09956236323851203,0.050239234449760764,0.0038454163877115373,0
Sapromyza.Minettia,1,0.1111111111111111,0,0,0.045454545454545456,0.001720654514775427,0.20001323085006584
Formicidae3,1,0.1111111111111111,0,0,0.007177033492822967,0,0.8115396170357605
Nitidulidae,1,0.1111111111111111,0,0,0.007177033492822967,0,0.5510015765746534
Staphilinidae,2,0.2222222222222222,0.023076923076923078,0,0.04665071770334928,0.006203052223930653,0.4092483565110792
Ichneumonidae4,2,0.2222222222222222,0,0,0.03149920255183413,0.001525953587383275,0.9007713230439391
Braconidae3,1,0.1111111111111111,0,0,0.007177033492822967,0,0.6165416586204983
Chalepogenus caeruleus,1,0.1111111111111111,0,0,0.02631578947368421,0.002535734630473671,0.9500994063222141
Vespula germanica,1,0.1111111111111111,0,0,0.045454545454545456,0.005345011896961964,0.2834745605435728
Torymidae2,1,0.1111111111111111,0,0,0.007177033492822967,0,0.8322740360786441
Phthiria1,1,0.1111111111111111,0,0,0.045454545454545456,0.001720654514775427,0.20001323085006584
Svastrides melanura,1,0.1111111111111111,0,0,0.045454545454545456,0.0069782099765892305,0.30830178483875004
Sphecidae,1,0.1111111111111111,0,0,0.045454545454545456,0.001720654514775427,0.20001323085006584
Thomisidae,1,0.1111111111111111,0,0,0.045454545454545456,0.001720654514775427,0.20001323085006584
Corynura prothysteres,2,0.2222222222222222,0.24423076923076922,0,0.050239234449760764,0.004526406471301123,0.1209998152789401
Ichneumonidae2,1,0.1111111111111111,0,0,0.045454545454545456,0.005345011896961964,0.2834745605435728
Ruizantheda proxima,1,0.1111111111111111,0,0,0.045454545454545456,0.005345011896961964,0.2834745605435728
Braconidae2,1,0.1111111111111111,0,0,0.03149920255183413,0.001525953587383275,0
