bee_species,tongue_length_mm,body_length_mm,sociality,lecty,flight_range_m
Policana albopilosa,17.54502876382321,7.093274698825553,solitary,polylectic,1064.0261095715687
Ruizantheda mutabilis,19.984440622851253,6.573793071089312,social,polylectic,2798.750622617081
Platycheirus1,4.337044597603381,10.61620420939289,solitary,polylectic,381.795617681928
Ichneumonidae4,11.815222946926951,16.475464890012518,solitary,polylectic,2647.4092680960894
Corynura prothysteres,16.978308094199747,14.574713356094435,social,polylectic,2937.4735597288236
Braconidae2,19.431356781627983,7.430883147055283,social,polylectic,268.46004847902805
Bombus dahlbomii,18.563722632359713,10.277497133240104,social,polylectic,1229.3843288673088
Syrphus octomaculatus,4.8264776868745685,20.6269793799147,solitary,oligolectic,2614.0141282929108
Manuelia gayi,2.905963850673288,20.08434139098972,solitary,oligolectic,2506.31959089078
Allograpta.Toxomerus,16.982630712911487,16.917861277237535,social,polylectic,2913.793166424148
Trichophthalma jaffueli,4.3380469349212945,15.45667344192043,social,oligolectic,1201.059222384356
Phthiria,8.904788320884109,17.193764543626457,solitary,oligolectic,1130.7182806544006
Sapromyza.Minettia,15.012605117168278,13.255612254375592,solitary,polylectic,1845.503169274889
Staphilinidae,3.0466840397566557,15.640919039957225,solitary,polylectic,1289.6342882653698
Vespula germanica,5.050244791898876,7.2966482527554035,social,polylectic,2132.148419274017
Phthiria1,8.877259347122163,16.15473743970506,social,polylectic,587.0125730056316
Svastrides melanura,6.403093489818275,7.970396539894864,social,polylectic,186.33733119349927
Sphecidae,9.505021758843213,20.160562245175242,solitary,polylectic,1221.4159331284463
Thomisidae,7.904583610594273,16.518219799967483,solitary,polylectic,1926.0074406163767
Ichneumonidae2,4.304543063975871,14.194384801667184,social,oligolectic,849.1936222650111
Ruizantheda proxima,8.574339445214719,11.286726046120748,solitary,polylectic,600.7982266834006
Formicidae3,12.732199457474053,16.360113454516977,social,polylectic,534.3640637118369
Nitidulidae,15.66541326744482,19.71642519114539,solitary,polylectic,2917.414971929975
Braconidae3,11.704062465578318,14.510941116837785,solitary,polylectic,2690.7495552441105
Torymidae2,6.91854360839352,5.8697472244966775,solitary,polylectic,2281.2042025849223
Trichophthalma amoena,18.847800694871694,19.2404993516393,social,oligolectic,2450.552465370856
Chalepogenus caeruleus,11.640769017394632,15.731422971468419,social,polylectic,2678.388068987988
Andrena.wheeleri,17.67207334563136,10.040121555095538,social,polylectic,577.9412303352728
Andrena.w.scripta,15.852605594322085,10.098481507273391,social,polylectic,1232.9537253361195
Bombus.perplexus,14.587489790748805,6.261952809523791,solitary,polylectic,1739.3288855673745
Bombus.terricola,3.111210905946791,20.78139009908773,solitary,oligolectic,1646.6070764232427
Bombus.vagans,15.767286172602326,11.819532652385533,social,polylectic,2617.480528401211
Cateres.pennatus,6.413829178083688,16.31137800985016,social,polylectic,1927.448902837932
Cheilosia.tristis,4.118711455259472,5.424447460565716,solitary,polylectic,2745.6512068165466
Dialictus.cressoni,16.49087382061407,7.59506656578742,solitary,polylectic,1978.9511134149507
Dialictus.imitatus,19.691671654116362,7.516406317707151,social,oligolectic,700.3331390675157
Dialictus.sp.,8.358774946071208,6.622254950227216,solitary,polylectic,590.0391731178388
Eusphalerum.convexum,3.5567431151866913,13.404207963496447,solitary,oligolectic,2469.3033376708627
Eusphalerum.phothos,2.1011785147711635,15.043590336339548,social,oligolectic,1289.1758457524702
Eusphalerum.sp.,9.91389120509848,7.547904426697642,solitary,polylectic,1077.0668282639235
Evylaeus.quebecensis,5.518980347085744,11.450030979700387,social,polylectic,419.86359311267734
Halictus.rubicundus,3.0445233024656773,18.407600689446554,solitary,oligolectic,2867.433287156746
Mallota.posticata,16.26963467244059,12.932107604341581,solitary,oligolectic,2794.016691390425
Trachysida.aspera,7.624587455298752,13.148520075483248,social,oligolectic,566.762947011739
Paramyia.nitens,8.027108875568956,12.381127879489213,social,polylectic,1290.1235452853143
Andrena.wilkella,19.737499428912997,7.833187422482297,social,polylectic,2729.3176342500374
