"","Phytomyza.aquilonia","Alliopsis.glacialis","Botanophilia.bidens","Delai.piliventris","Egle.minuta","Egle.parva","Egle.sp.","Paradelia.sp.","Pegomya.haemorrhoum","Pegomya.sp.","Pegoplata.aestiva","Dipt..sp.","Dipt..sp..1","Dipt..sp..2","Zaphne.barbiventris","Zaphne.frontata","Zaphne.sp.","Zaphne.sp..1","Bellardia.pubicornis","Dasineura.sp.","Acamptocladius.submontanus","Corynoneura.scutella","Heterotrissocladius.subpilosus","Limnophyes.brachytomus","Limnophyes.natalensis","Limnophyes.ninae","Limnophyes.schnelli","Micropsectra.radialis","Micropsectra.sp.","Micropsectra.sp..1","Oliveridia.tricornis","Pseudosmittia.oxoniana","Smittia.betuletorum","Smittia.aterrima","Smittia.sp.","Smittia.sp..1","Chloropinae.sp.","Dolichopus.plumipes","Rhaphium.crassipes","Empis.lucida","Rhamphomyia.aethiops","Rhamphomyia.obscuripennis","Rhamphomyia.morio","Rhamphomyia.reflexa","Fannia.mollissima","Platypalpus.nigritarsis","Phyllolabis.macroura","Coenosia.atritibia","Coenosia.octopunctata","Phaonia.alpicola","Phaonia.lugubris","Phaonia.subfuscinereis","Spilogona.alpica","Spilogona.megastoma","Spilogona.nitidicauda","Spilogona.triangulifera","Thricops.cunctans","Thricops.furcatus","Thricops.hirtulus","Thricops.nigritellus","Thricops.rostratus","Boletina.sp.","Mycomya.fuscata","Megaselia.cirriventris","Megaselia.coci","Megaselia.digitalis","Megaselia.diversa","Megaselia.girandii","Megaselia.groenlandica","Megaselia.pleuralis","Megaselia.sordida","Megaselia.sp.","Parapiophila.vulgaris","Chamaepsila.morio","Gimnomera.dorsala","Bradysia.girandii","Bradysia.sp.","Bradysia.sp..1","Bradysia.sp..2","Corynoptera.refrigerata","Corynoptera.sp.","Corynoptera.sp..1","Lycoriella.curvispina","Lycoriella.freyi","Lycoriella.sp.","Lycoriella.sp..1","Trichosia.truncata","Allophorocera.lapponica","Podabrus.sp.","Arpedium.sp.","Bombus.alpinus","Bombus.hyperboreus","Alysiinae.sp.","Alysiinae.sp..1","Alysiinae.sp..2","Alysiinae.sp..3","Alysiinae.sp..4","Cotesia.sp.","Tetrastichinae.sp.","Aclastus.sp.","Aclastus.sp..1","Orthocentrinae.sp.","Phygadenon.sp.","Porizontini.sp.","Ichn..sp.","Ichn..sp..1","Ichn..sp..2","Ichn..sp..3","Stenomacrus.sp.","Platygaster.sp.","Pteromalidae.sp.","Pteromalidae.sp..1","Xestommaster.sp.","Cidaria.sp.","Urbicola.sp.","Anarta.sp.","Thysan..sp.","Limnophilus.sp."
"Arabis.alpina",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Astragalus.alpinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Bartsia.alpina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cassiope.hypniodes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cassiope.tetragona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cerastium.alpinun",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Diapensia.lapponica",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1
"Dryas.octopetala",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,1,0,1,6,1,0,0,0,0,0,0,1,1,3,1,2,0,0,0,13,0,3,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0
"Parnassia.palustris",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pinguicula.alpina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polygonum.viviparum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,6,2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Potentilla.crantzii",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,2,2,0,4,0,2,1,6,0,6,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Rhodiola.rosea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Rhododendron.lapponicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
