"","Exoneura.sp","Apis.mellifera","Euryglossa.sp.","Hylaeus.semipersonatus","Hylaeus.sp.","Hyphesma.sp.","Leioproctus.sp.1","Leioproctus.sp.2","Leioproctus.sp.3","Lasioglossum.sp.","Lasioglossum.sp.1","Lasioglossum.sp.2","Lasioglossum.sp.3","Lasioglossum.sp.4","Lasioglossum.sp.5","Lasioglossum.sp.6","Lasioglossum.Parasphecodes.sp.1","Lasioglossum.Parasphecodes.sp.2","Lasioglossum.Parasphecodes.sp.3","Megachile.sp.","Euryinae.sp.1","Euryinae.sp.2","Euryinae.sp.3","Anthoboscinae","Dilophus.sp.","Sciaridae","Pelecorhychus.rubidus","Tabanus.froggatti","Stratiomyidae","Therevidae","Comptosia.sylvana","Villa.sp.","Empis.ap.B","Empis.sp.C","Empis.sp.D","Empis.sp.E","Empis.sp.F","Dolichopodidae","Diostracus.sp.1","Eristalis.tenax","Melangyna.sp.","Syrphus.sp.","Rivellia.sp.F","Sphenella.marginata","Tephritis.sp.A","Tephritis.sp.B","Phytoliriomyza.sp.","Incurviseta.sp.D","Incurviseta.sp.K","Poecilohetaerus.sp.","Sapromyza.sp.","Tapeigaster.nigricornis","Scaptomyza.australis","Hydrellia.sp.","Chloromerus.sp.","Coenosia.sp.A","Coenosia.sp.B","Helina.sp.A","Helina.sp.B","Limnophora.sp.","Musca.vetustissima","Prohardya.carinata","Calliphora.fulvicoxa","Calliphora.hilli","Calliphora.stygia","Calliphora.sp.","Calliphora.sp.A","Calliphora.sp.B","Alophera.sp.","Chaetophthalamus.dorsalis","Prosena.sp.C","Rutilia.sp.","Scaptia.alpina","Senostoma.sp.A","Senostoma.sp.B","Senostoma.sp.D","Unident.no.1","Unident.no.2","Unident.no.3","Unident.no.4","Agrostis.infusa","Hippotion.scofa","Oreixenica.orichora"
"Achillea.millefolium",0,0,1,0,0,0,0,0,0,0,6,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Aciphylla.glacialis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,2,0,0,2,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,8,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aciphylla.simplicifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asperula.gunnii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baeckia.gunniana",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,2,0,0,0,0,7,0,1,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0
"Brachycome.scapiformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brachycome.scapigera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Brachycome.sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Brachycome.stolonifera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Celmisia.longifolia",2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
