"","Coleoptera.spec1","Coleoptera.spec2","Coleoptera.spec3","Coleoptera.spec4","Coleoptera.spec5","Coleoptera.spec6","Coleoptera.spec7","Cantharidae.spec1","Curculionidae.spec1","Diptera.spec1","Diptera.spec2","Diptera.spec3","Diptera.spec4","Conipidae.spec1","Diptera.spec5","Diptera.spec6","Scatophaga.stercoraria","Diptera.spec7","Diptera.spec8","Diptera.spec9","Diptera.spec10","Diptera.spec11","Diptera.spec12","Diptera.spec13","Diptera.spec14","Diptera.spec15","Diptera.spec16","Diptera.spec17","Diptera.spec18","Diptera.spec19","Eriothrix.rufomaculata","Diptera.spec20","Diptera.spec21","Diptera.spec22","Diptera.spec23","Diptera.spec24","Diptera.spec25","Tephretidae.spec1","Diptera.spec26","Diptera.spec27","Chrysotoxum.bicinctum","Episyrphus.arbustorum","Episyrphus.balteatus","Eristalis.pertinax","Eristalis.tenax","Helophilus.pendulus","Helophilus.trivittatus","Melanostoma.mellinum","Melanostoma.scalare","Meliscaeva.auricollis","Metasyrphus.corollae","Platycheirus.albimanus","Platycheirus.clypeatus","Platycheirus.scutatus","Rhingia.campestris","Scaeva.pyrastri","Sphaerophoria.scripta","Syritta.pipiens","Syrphus.ribesii","Syrphus.vitripennis","Xanthogramma.pedissequum","Bombus.lapidarius","Bombus.muscorum","Bombus.pascuorum","Bombus.terrestris","Psithyrus.spec1","Apis.mellifera","Parasitica","Formicidae.spec1","Symphyta.spec1","Symphyta.spec2","solitary.bees","Polyommatus.icarus","Pyonia.tithonus","Pieris.brassicae","Incurvariidae.spec1","Maniola.jurtina","Thymelicus.sylvestris","Aglais.urticae"
"Agrimonium.eupatorium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leontodon.autumnalis",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,20,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0
"Lotus.corniculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Medicago.lupulina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Rubus.fruticosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypochaeris.radicata",0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0
"Centaurea.nigra",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,7,4,1,5,0,0,0,1,3,2,2,0,0,0,0,0
"Euphrasia.officinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Linum.catharticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Convolvulus.arvensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Knautia.arvensis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,1,0,2,10,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,1,4,2,1,0,0,0,1,0,0,0,1,0,0,1,0,1
"Aethusa.cynapium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,8,0,0,0,0,0,0,1,8,0,1,8,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Eupatorium.cannabinum",0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,7,13,5,0,0,28,0,0,0,0,0,0,0,31,0,0,6,0,1,0,0,0,1,0,2,4,5,4,0,1,0,0,0,0,0,0,0,0,1,16,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,1
"Plantago.major",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leontodon.saxatilis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lathyrus.pratensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clematis.vitalba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Senecio.jacobaea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Trifolium.pratense",1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,9,14,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0
"Chamerion.angustifolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,8,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Leontodon.hispidus",1,4,1,1,1,0,2,0,0,0,0,1,0,0,2,0,1,1,0,0,1,0,2,0,0,0,0,1,2,0,19,0,1,139,15,0,0,0,0,1,0,8,35,1,11,5,0,0,2,0,0,2,0,0,1,0,101,6,0,0,0,0,0,0,0,0,0,2,0,2,0,58,0,0,0,3,0,0,2
"Crepis.capillaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0
"Torilis.japonica",0,0,0,0,0,1,0,5,0,0,0,0,3,1,1,3,0,0,4,0,0,0,22,0,0,1,0,0,0,0,27,0,33,43,0,0,0,0,0,0,0,0,36,1,0,1,0,2,1,2,0,0,0,0,0,0,3,6,0,2,0,0,0,0,0,0,0,6,2,8,1,0,0,0,0,0,0,0,0
"Angelica.sylvestris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Daucus.carota",0,0,0,0,0,0,0,3,0,5,0,3,13,0,31,9,10,45,32,6,1,1,97,1,0,3,0,0,0,10,88,1,107,125,0,0,0,2,1,9,5,12,52,0,5,0,0,12,4,2,4,3,1,1,1,0,51,40,6,6,2,1,0,0,0,0,0,63,0,53,0,6,0,0,0,3,1,0,0
