"","Andrena..Scaphandrena..arabis","Andrena..Melandrena..carlini","Andrena..Trachandrena..ceanothi","Andrena..Melandrena..dunningi","Andrena..Ptilandrena..erigeniae","Andrena..Scrapopteris..imatrix","Andrena..Simandrena..nasonii","Andrena..Euandrena..nigrihirta","Andrena..Micrandrena..personata","Andrena..Andrena..tridens","Andrena..Tomelissa..violae","Andrena..Micrandrena..ziziaeformis","Ceratina.calcarata","Ephemoropsis.laboriosa","Nomada..Heminomada..bishopii","Nomada..Heminomada..luteola","Nomada..Gnathias..perplexa","Nomada..Nomada..pygmaea","Nomada..Nomada..sayi","Nomada.sp.","Xylocopa.virginica.virginica","Apis.mellifera","Bombus.bimaculatus","Bombus.pennsylvanicus","Augochlora.pura","Augochorella.striata","Dialictus.abanci","Dialictus.cressonii","Evylaeus.macoupinensis","Lassioglossum.fuscipenne","halictid.sp.","Osmia.atriventris","Osmia.conjucta","Osmia.lignaria","Osmia.simillima","Osmia.sp.","Hylema.platura","Bombylius.major","Platycheirus.obscurus","Toxomerous.geminatus","Gonia.sp.","unknown.sp.","Lycaenopsis.argiolus","Euchlo.creusa.lotta"
"Hepatica.americana",0,1,0,0,0,0,0,27,0,9,0,0,0,0,0,0,0,0,0,4,0,4,2,0,0,0,5,0,5,0,1,0,0,0,0,0,8,20,0,0,4,0,0,0
"Erythronium.umbilicatum",0,4,0,0,0,0,0,273,0,72,0,0,0,0,0,0,8,0,0,1,2,52,0,0,1,1,3,0,0,0,0,0,4,4,0,7,0,2,0,0,0,0,0,0
"Sangiunaria.canadensis",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0
"Claytonia.virginica",0,1,1,0,378,1,3,13,0,2,0,1,3,0,0,0,6,8,0,32,1,4,0,0,1,1,7,5,4,0,22,0,7,3,0,4,16,418,10,4,37,0,2,5
"Thalictrum.thalictroides",0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,9,0,0,0,0,1,0,130,2,0,8,0,0,0
"Cardamine.angustata angustata",2,7,0,1,2,0,2,16,0,4,0,0,0,0,0,0,2,1,0,2,1,5,5,1,3,0,0,0,0,1,0,0,1,2,0,1,0,79,4,0,2,2,0,2
"Stellaria.pubera",0,2,0,0,3,0,8,6,1,0,0,0,2,0,1,3,4,5,1,44,0,0,0,0,3,0,3,0,0,0,0,3,7,0,0,3,0,122,1,3,4,0,0,0
"Viola.papilionacea",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,17,0,0,0,0,0,0
"Uvularia.sessilifolia",0,0,0,0,0,0,0,15,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tiarella.cordifolia collina",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,18,0,0,0,0,1,1,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0
"Podophyllum.peltatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trillium.catesbei",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aesculus.sylvatica",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
