"","Adia.sp.1","Adia.sp.2","Adia.sp.3","Adia.spp.","Agalais.milberti","Agrotis.obliqua","Andrena.sp.1","Androloma.macullochi","Anthomyia.sp.1","Anthomyiidae.sp.1","Anthomyiidae.sp.2","Arachnida","Beris.sp.1","Bombus.balteatus","Bombus.flavifrons","Bombus.melanopygus","Bombus.mixtus","Bombus.sylvicola","Botanophila.sp.1","Botanophila.sp.2","Botanophila.sp.3","Botanophila.sp.4","Botanophila.spp.","Calliphorid.sp.1","Carabidae.sp.1","Chaetovoria.seriata","Cheilosia.bigelowi","Cheilosia.nigrofasciata","Cheilosia.seripila","Chrysogaster.sp.1","Chrysogaster.sp.2","Chrysogaster.sp.3","Chrysotoxum.fasciatum","Coccinellidae.sp.1","Colias.meadii","Crinurina.sp..1","Delia.sp.1","Delia.sp.2","Delia.sp.3","Delia.Lasiomma.sp.1","Dilophus.sp.1","Drasteria.petricola","Drymeia.c.f..minor","Drymeia.sp.1","Drymeia.spp.","Dryomyza.sp.1","Eana.osseana","Eremomyioides.spp.","Eristalis.tenax","Eupeodes.lapponicus","Euphydryas.anicia","Eustalomyia.sp.1","Eustalomyia.sp.2","Hemiptera.sp.1","Hemiptera.sp.2","Hemiptera.sp.3","Hiatomyia.coriacea","Hiatomyia.cyanea","Hiatomyia.hecate","Hiatomyia.plutonia","Hiatomyia.signatiseta","Hiatomyia.spp.","Hiatomyia.spp.m","Hydrophoria.sp.1","Hydrophoria.sp.2","Hydrotaea.sp.1","Lasioglossum.sp.1","Lasionycta.impingens","Macrophya.sp.1","Macrophya.sp.2","Macrophya.sp.3","Macrophya.sp.4","Miltogramminae.sp.1","Musca.sp.1","Muscina.sp.1","Parasyrphus.c.f..tarsatus","Parasyrphus.nigritarsus","Parasyrphus.relictus","Parasyrphus.sp.1","Paregle.Adia.sp.1","Paregle.Adia.sp.2","Paregle.Adia.sp.3","Paregle.Adia.sp.4","Paregle.Adia.spp.","Pegohylemyia.sp.1","Pegohylemyia.sp.2","Pegohylemyia.sp.3","Pegohylemyia.spp.","Pegomya.sp.1","Pegomya.sp.2","Pegomya.spp.","Phaonia.atrocitrea","Phaonia.brunneinervis","Phaonia.incerta","Phaonia.monticola","Phaonia.protuberans","Phaonia.sp.1","Phorbia.sp.1","Platycheirus.holarcticus","Platycheirus.spp.","Plebejus.icarioides","Potamia.sp.1","Potamia.sp.2","Pyla.scintillans","Pyla.spp.","Pyrausta.c.f..subsequalis","Pyrgus.ruralis","Rhamphomyia.empis.spp.","Rhamphomyia.spp.","Schoenomyza.sp.1","Speranza.simplex","Sphaerophoria.sulphuripes","Spilogona.spp.","Symphoromyia.sp.1","Synanthedon.sp.1","Syngrapha.sp.1","Syrphus.ribesii","Syrphus.torvus","Tachinid.spp.","Thricops.c.f..innocuus","Thricops.c.f..septentrionalis","Thricops.inocuus","Thricops.septentrionalis","Thricops.spiniger","Thricops.villicrus"
"Achillea millefolium",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"Allium cernuum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anemone drummondii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Aquilegia flavescens",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0
"Arabis drummondii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arenaria capillaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,2,1,0,0,0,0,0,0,2,1,1,0,0,0
"Arnica angustifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Arnica chamissonis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0
"Astragalus alpinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Castilleja occidentalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
