"","Policana albopilosa","Bombus dahlbomii","Ruizantheda mutabilis","Bombus ruderatus","Colletes seminitidus","Syrphus octomaculatus","Allograpta.Toxomerus","Trichophthalma jaffueli","Anthaxia","Phthiria","Platycheirus1","Heterosarus","Sapromyza.Minettia","Camponotus","Megachile2","Chalepogenus caeruleus","Vespula germanica","Torymidae2","Phthiria1","Ruizantheda nigrocaerulea","Chilicola2","Sphecidae","Thomisidae","Platycherius fenestratus","Scaeva melanostoma","Diptera10","Acroceridae","Chilicola1","Vespidae"
"Aristotelia chilensis",85,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alstroemeria aurea",0,4,1,30,0,2,4,4,2,15,1,12,0,0,5,0,1,0,3,1,2,3,1,0,0,0,1,1,0
"Schinus patagonicus",94,0,79,0,0,0,23,0,0,0,9,0,0,27,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1
"Berberis darwinii",0,15,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vicia nigricans",0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rosa eglanteria",0,8,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cynanchum diemii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Ribes magellanicum",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mutisia decurrens",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calceolaria crenatiflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
