"flower_species","bee_species","visit_count"
"Aristotelia chilensis","Policana albopilosa",673
"Aristotelia chilensis","Ruizantheda mutabilis",110
"Aristotelia chilensis","Platycheirus1",4
"Aristotelia chilensis","Ichneumonidae4",1
"Aristotelia chilensis","Corynura prothysteres",1
"Aristotelia chilensis","Braconidae2",1
"Alstroemeria aurea","Bombus dahlbomii",154
"Alstroemeria aurea","Syrphus octomaculatus",5
"Alstroemeria aurea","Manuelia gayi",7
"Alstroemeria aurea","Allograpta.Toxomerus",1
"Alstroemeria aurea","Trichophthalma jaffueli",3
"Alstroemeria aurea","Phthiria",8
"Alstroemeria aurea","Platycheirus1",1
"Alstroemeria aurea","Sapromyza.Minettia",1
"Alstroemeria aurea","Staphilinidae",4
"Alstroemeria aurea","Vespula germanica",4
"Alstroemeria aurea","Phthiria1",1
"Alstroemeria aurea","Svastrides melanura",6
"Alstroemeria aurea","Sphecidae",1
"Alstroemeria aurea","Thomisidae",1
"Alstroemeria aurea","Corynura prothysteres",3
"Alstroemeria aurea","Ichneumonidae2",4
"Alstroemeria aurea","Ruizantheda proxima",4
"Schinus patagonicus","Ichneumonidae4",15
"Berberis darwinii","Bombus dahlbomii",67
"Berberis darwinii","Syrphus octomaculatus",5
"Rosa eglanteria","Ruizantheda mutabilis",6
"Rosa eglanteria","Syrphus octomaculatus",4
"Rosa eglanteria","Allograpta.Toxomerus",2
"Rosa eglanteria","Staphilinidae",3
"Cynanchum diemii","Formicidae3",8
"Cynanchum diemii","Nitidulidae",1
"Cynanchum diemii","Braconidae3",2
"Cynanchum diemii","Torymidae2",9
"Ribes magellanicum","Trichophthalma amoena",2
"Ribes magellanicum","Allograpta.Toxomerus",3
"Mutisia decurrens","Phthiria",1
"Calceolaria crenatiflora","Allograpta.Toxomerus",1
"Calceolaria crenatiflora","Chalepogenus caeruleus",3
